experiment_id,strategy,embedding_model,dataset_version,chunk_count,parent_count,average_chunk_tokens,p50_chunk_tokens,p95_chunk_tokens,index_size_estimate_bytes,embedding_seconds,retrieval_seconds,embedding_cache_hits,embedding_cache_misses,MRR,Recall@1,Recall@3,Recall@5,Recall@10,HitRate@1,HitRate@3,HitRate@5,HitRate@10
20260728T075511Z-44545,fixed,Qwen/Qwen3-Embedding-0.6B,java-interview-real-v1-dev-provisional,889,0,499.0686164229471,512.0,512.0,3641344,269.77036208301433,0.004925875022308901,73,889,0.8832354859752121,0.723744292237443,0.9634703196347031,0.9634703196347031,0.9908675799086757,0.7945205479452054,0.9863013698630136,0.9863013698630136,1.0
20260728T075511Z-44545,structure,Qwen/Qwen3-Embedding-0.6B,java-interview-real-v1-dev-provisional,1328,0,286.5948795180723,285.0,504.0,5439488,355.8588608340069,0.00951404101215303,73,1328,0.9029680365296804,0.7922374429223744,0.9018264840182648,0.9748858447488585,0.9840182648401826,0.8493150684931506,0.958904109589041,1.0,1.0
20260728T075511Z-44545,parent_child,Qwen/Qwen3-Embedding-0.6B,java-interview-real-v1-dev-provisional,5475,935,69.50977168949771,51.0,226.0,22425600,482.6888770830119,0.04884766601026058,318,5230,0.8731898238747553,0.728310502283105,0.8767123287671232,0.8881278538812785,0.9657534246575342,0.8082191780821918,0.9452054794520548,0.9452054794520548,0.9863013698630136
