experiment_id,strategy,embedding_model,dataset_version,chunk_count,parent_count,average_chunk_tokens,p50_chunk_tokens,p95_chunk_tokens,index_size_estimate_bytes,embedding_seconds,retrieval_seconds,embedding_cache_hits,embedding_cache_misses,MRR,Recall@1,Recall@3,Recall@5,Recall@10,HitRate@1,HitRate@3,HitRate@5,HitRate@10
20260728T083734Z-47450,fixed,Qwen/Qwen3-Embedding-0.6B,java-interview-real-v1-dev-agent-reviewed,889,0,499.0686164229471,512.0,512.0,3641344,0.08175587499863468,0.004905500012682751,962,0,0.8832354859752121,0.723744292237443,0.9634703196347031,0.9634703196347031,0.9908675799086757,0.7945205479452054,0.9863013698630136,0.9863013698630136,1.0
20260728T083734Z-47450,structure,Qwen/Qwen3-Embedding-0.6B,java-interview-real-v1-dev-agent-reviewed,1328,0,286.5948795180723,285.0,504.0,5439488,0.062495166988810524,0.006215832981979474,1401,0,0.9029680365296804,0.7922374429223744,0.9018264840182648,0.9748858447488585,0.9840182648401826,0.8493150684931506,0.958904109589041,1.0,1.0
20260728T083734Z-47450,parent_child,Qwen/Qwen3-Embedding-0.6B,java-interview-real-v1-dev-agent-reviewed,5475,935,69.50977168949771,51.0,226.0,22425600,0.13671020799665712,0.03937199999927543,5548,0,0.8731898238747553,0.728310502283105,0.8767123287671232,0.8881278538812785,0.9657534246575342,0.8082191780821918,0.9452054794520548,0.9452054794520548,0.9863013698630136
