experiment_id,dataset,scheme,group,EvidenceRecall@5/50,EvidenceCoverage@5,AllEvidenceHit@5/50,ContextPrecision@5,MRR,queries,generated_subqueries,query_embeddings,cache_hits,cache_misses,actual_embeddings,retrieval_calls,average_candidates,p50_retrieval_latency_ms,p95_retrieval_latency_ms
20260728T100028Z-multisection-ablation,current_dev,S0,Overall,0.9657534246575342,0.9633255108397311,0.9315068493150684,0.2084850022074075,0.8851598173515981,73,0,73,73,0,0,73,10.0,0.09308301378041506,0.33850001636892557
20260728T100028Z-multisection-ablation,current_dev,S0,TERMINOLOGY,1.0,1.0,1.0,0.1880358921538665,1.0,73,0,73,73,0,0,73,10.0,0.09308301378041506,0.33850001636892557
20260728T100028Z-multisection-ablation,current_dev,S0,PARAPHRASE,1.0,1.0,1.0,0.17735325505240518,0.8991228070175438,73,0,73,73,0,0,73,10.0,0.09308301378041506,0.33850001636892557
20260728T100028Z-multisection-ablation,current_dev,S0,DIRECT_FACT,1.0,0.9998991121872478,1.0,0.16224074335504865,0.888888888888889,73,0,73,73,0,0,73,10.0,0.09308301378041506,0.33850001636892557
20260728T100028Z-multisection-ablation,current_dev,S0,MULTI_SECTION,0.7916666666666666,0.7926236505151296,0.5833333333333334,0.383322264767548,0.6555555555555556,73,0,73,73,0,0,73,10.0,0.09308301378041506,0.33850001636892557
20260728T100028Z-multisection-ablation,current_dev,S0,HARD_NEGATIVE,1.0,0.9792663476874003,1.0,0.17625998018133943,1.0,73,0,73,73,0,0,73,10.0,0.09308301378041506,0.33850001636892557
20260728T100028Z-multisection-ablation,current_dev,S1,Overall,0.9337899543378996,0.9339182442298688,0.8767123287671232,0.2002918635150025,0.8606164383561644,73,44,117,73,44,44,117,24.52054794520548,0.1120830129366368,97.35758299939334
20260728T100028Z-multisection-ablation,current_dev,S1,TERMINOLOGY,1.0,1.0,1.0,0.19327527545150436,1.0,73,44,117,73,44,44,117,24.52054794520548,0.1120830129366368,97.35758299939334
20260728T100028Z-multisection-ablation,current_dev,S1,PARAPHRASE,1.0,1.0,1.0,0.17624646275324388,0.8991228070175438,73,44,117,73,44,44,117,24.52054794520548,0.1120830129366368,97.35758299939334
20260728T100028Z-multisection-ablation,current_dev,S1,DIRECT_FACT,1.0,0.9998991121872478,1.0,0.16016927010531884,0.888888888888889,73,44,117,73,44,44,117,24.52054794520548,0.1120830129366368,97.35758299939334
20260728T100028Z-multisection-ablation,current_dev,S1,MULTI_SECTION,0.6805555555555555,0.6815125394040185,0.3333333333333333,0.34987828681049643,0.6208333333333333,73,44,117,73,44,44,117,24.52054794520548,0.1120830129366368,97.35758299939334
20260728T100028Z-multisection-ablation,current_dev,S1,HARD_NEGATIVE,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.15458064721420492,0.8472222222222222,73,44,117,73,44,44,117,24.52054794520548,0.1120830129366368,97.35758299939334
20260728T100028Z-multisection-ablation,current_dev,S2,Overall,0.9337899543378996,0.9339182442298688,0.8767123287671232,0.1999598656046985,0.8606164383561644,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S2,TERMINOLOGY,1.0,1.0,1.0,0.19327527545150436,1.0,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S2,PARAPHRASE,1.0,1.0,1.0,0.17624646275324388,0.8991228070175438,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S2,DIRECT_FACT,1.0,0.9998991121872478,1.0,0.16016927010531884,0.888888888888889,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S2,MULTI_SECTION,0.6805555555555555,0.6815125394040185,0.3333333333333333,0.34834137570402574,0.6208333333333333,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S2,HARD_NEGATIVE,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.15393699008369982,0.8472222222222222,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S3,Overall,0.9337899543378996,0.9339182442298688,0.8767123287671232,0.1999598656046985,0.8606164383561644,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S3,TERMINOLOGY,1.0,1.0,1.0,0.19327527545150436,1.0,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S3,PARAPHRASE,1.0,1.0,1.0,0.17624646275324388,0.8991228070175438,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S3,DIRECT_FACT,1.0,0.9998991121872478,1.0,0.16016927010531884,0.888888888888889,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S3,MULTI_SECTION,0.6805555555555555,0.6815125394040185,0.3333333333333333,0.34834137570402574,0.6208333333333333,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,current_dev,S3,HARD_NEGATIVE,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.15393699008369982,0.8472222222222222,73,44,117,117,0,0,117,24.52054794520548,0.09529199451208115,0.4612499906215817
20260728T100028Z-multisection-ablation,hard_dev,S0,Overall,0.7118055555555555,0.7019180540308905,0.625,0.19093392899276476,0.5377314814814814,48,0,48,48,0,0,48,10.0,0.09462499292567372,0.2552499936427921
20260728T100028Z-multisection-ablation,hard_dev,S0,PARAPHRASE,0.7857142857142857,0.7709532414783323,0.7142857142857143,0.18107520133460112,0.6984126984126984,48,0,48,48,0,0,48,10.0,0.09462499292567372,0.2552499936427921
20260728T100028Z-multisection-ablation,hard_dev,S0,CODE_BEHAVIOR,0.8571428571428571,0.8038277511961722,0.8571428571428571,0.14551871348124065,0.7023809523809524,48,0,48,48,0,0,48,10.0,0.09462499292567372,0.2552499936427921
20260728T100028Z-multisection-ablation,hard_dev,S0,IMPLICIT_PARAPHRASE,0.75,0.75,0.75,0.15721764654942783,0.1875,48,0,48,48,0,0,48,10.0,0.09462499292567372,0.2552499936427921
20260728T100028Z-multisection-ablation,hard_dev,S0,TERMINOLOGY,0.8333333333333334,0.833156779661017,0.8333333333333334,0.24386989139985069,0.32962962962962966,48,0,48,48,0,0,48,10.0,0.09462499292567372,0.2552499936427921
20260728T100028Z-multisection-ablation,hard_dev,S0,TERMINOLOGY_DISAMBIGUATION,0.875,0.8748675847457628,0.875,0.22302263614899204,0.43472222222222223,48,0,48,48,0,0,48,10.0,0.09462499292567372,0.2552499936427921
